,oid,meanra,meandec,firstmjd,ndet,probability,class_name,classifier_name,drb,fid,mjd,magpsf,sigmapsf,has_stamp,sgscore1,distpsnr1,event_id,oid_y,ecl_lat,gal_lat,gal_A_g,stellar,agn,z,agnsep,mjd_obs
0,ZTF19adfnazw,159.5583571447295,34.829071970645536,61029.42799769994,13,0.71361434,AGN,stamp_classifier,0.9986042,2,61029.42799769994,20.382511,0.17977852,True,0.41219,0.30725718,S251031cq,0,24.20256134554004,60.57757756672185,0.07995972165765333,False,SDSS J103814.01+344944.8,0.26,4.943593944838995e-05,60979.79115638706
1,ZTF22acazuqs,151.79782699990687,58.28736904999999,61056.39473380009,2,0.6467418,AGN,stamp_classifier,0.99999726,1,61056.39473380009,20.415272,0.21641867,True,0.00583333,0.18734726,S251031cq,2,42.975262523762716,47.78671844225994,0.02773492825678846,False,SDSS J100711.44+581714.3,0.202,9.124068512263003e-05,60979.79115638706
2,ZTF23aaczuoy,165.62243853325415,62.04186433333333,61029.53567129979,3,0.6953483,AGN,stamp_classifier,0.9999985,2,61029.53567129979,20.23119,0.14371648,True,0.469042,0.37683415,S251031cq,3,49.82663963344663,50.691978206535644,0.04026081244542695,False,SDSS J110229.41+620230.8,0.323,8.250160306056728e-05,60979.79115638706
3,ZTF23aaedysa,164.63418960674022,59.542084047394965,61020.42819439992,13,0.6290648,AGN,stamp_classifier,0.9999962,1,61020.42819439992,20.19899,0.21118563,True,0.0319167,0.3561534,S251031cq,4,47.513934191728886,52.2374689577302,0.043925507109960134,False,SDSS J105832.20+593231.3,0.588,3.314768370441876e-05,60979.79115638706
4,ZTF23ablvosa,163.57487348522113,53.994344757142855,61002.54024309991,7,0.63534844,AGN,stamp_classifier,0.9999928,1,61028.531354200095,20.675554,0.19815075,True,0.978125,1.0513489,S251018bi,0,42.53842052752318,55.608918112570635,0.04331123013725137,False,SDSS J105417.98+535939.3,2.264,8.806320131148044e-05,60966.6429050473
5,ZTF25aajjeuc,123.19244363161016,16.40211310688763,61020.38368060021,5,0.6564717,AGN,stamp_classifier,0.999998,1,61029.446330999956,20.54875,0.19987488,True,0.145827,0.36121824,S251018bi,1,-3.454275390868656,25.177422314813523,0.1393690838390984,False,SDSS J081246.20+162407.6,0.531,0.00010148699780047694,60966.6429050473
6,ZTF25acjuzjx,145.65996240000163,38.7510882,61027.42936340021,2,0.51548046,SN,stamp_classifier,0.99999917,1,61054.432812499814,20.475985,0.18903828,True,0.216937,0.35802513,S251018bi,2,23.534025213211756,49.20102888401351,0.06028412205986973,False,SDSS J094238.36+384503.5,0.788,0.00013053345711077404,60966.6429050473
7,ZTF21aabvntz,132.33291027964987,17.815059590721475,61004.47893519979,14,0.591332,QSO,lc_classifier,0.9999208,1,61029.44538189983,20.546015,0.19479014,True,0.912589,1.0434731,S251018bi,3,0.042698345698146595,33.80724640662146,0.07552094559781755,False,SDSS J084919.95+174854.2,0.928,0.0002336849002182633,60966.6429050473
8,ZTF25acivsdl,145.92606330144687,3.4739412619277124,61005.41460649995,20,0.6534079,AGN,stamp_classifier,0.9986175,1,61027.43512730021,20.3258,0.20792864,True,0.996667,1.0908427,S251013x,0,-9.605046072854593,39.36362693633241,0.16521425692319683,False,SDSS J094342.28+032826.2,1.853,0.00012008059332585983,60961.114054167076
9,ZTF20acldmdy,59.89867817015792,-6.705228706598935,61004.191342600156,10,0.61803,AGN,stamp_classifier,0.9999849,1,61029.22909720009,20.145355,0.18932323,True,0.00416667,0.18152213,S250929c,0,-26.67348128605538,-40.96649862671577,0.3582641506353616,False,SDSS J035935.68-064218.7,0.211,3.987723053813727e-05,60947.01912459424
10,ZTF19aaapxhx,189.9241578653785,30.549714071169106,61011.5361227002,5,0.58140975,AGN,stamp_classifier,0.9999467,2,61030.510023099836,20.186943,0.21223566,True,0.403318,0.66696423,S250927cy,0,31.6939353143178,85.72053665648971,0.05873432247943043,False,SDSS J123941.80+303258.6,0.305,7.085843368774806e-05,60945.72964917844
11,ZTF19aasbrve,197.0487735924999,40.18094560061603,61027.47160879988,14,0.73839474,AGN,stamp_classifier,0.99999523,1,61030.44530089991,20.218607,0.214194,True,0.498917,0.43268922,S250927cy,1,42.926815986269915,76.49413211748367,0.05720478303406513,False,SDSS J130811.66+401051.3,0.355,0.00012072613350767191,60945.72964917844
12,ZTF21abanizm,204.5151393,37.5373067,61060.42886570003,1,0.67607975,AGN,stamp_classifier,0.9999851,1,61060.42886570003,20.475447,0.21650118,True,0.406167,0.06601397,S250927cy,3,43.620605540186865,75.69415944620823,0.015610050507139574,False,SDSS J133803.63+373214.2,0.422,1.9413264313906616e-05,60945.72964917844
13,ZTF23aatgoui,203.54434422833367,37.99896409213843,61054.53756939992,2,0.6114514,SN,stamp_classifier,0.99996126,1,61060.42886570003,20.0713,0.21324672,True,0.0277917,0.07665711,S250927cy,4,43.634736571717674,75.9055110641016,0.020776814475772547,False,1WGA J1334.1+3759,0.386,4.3507216398888875e-05,60945.72964917844
